Time,PulseCounts1,PulseCounts2
833.800500648,0,1
833.923965389,0,2
834.031555961,0,3
834.106721278,0,4
834.211845422,0,5
834.308672819,0,6
834.370877899,0,7
834.494631279,0,8
834.874800637,0,9
837.090279402,1,9
837.431879432,2,9
837.733936523,3,9
837.987161323,4,9
838.257164509,5,9
838.448051954,6,9
838.61591201,7,9
838.841306624,8,9
838.995976696,9,9
839.130104105,10,9
839.269537054,11,9
839.385229977,12,9
839.483406707,13,9
839.55234357,14,9
839.648825256,15,9
839.75044344,16,9
840.107747957,17,9
840.162172582,18,9
840.209280902,19,9
841.782583493,20,9
841.884318948,21,9
842.23451432,22,9
842.481198849,23,9
842.724772859,24,9
842.945379736,25,9
843.60712689,26,9
843.6943523,27,9
843.883336207,28,9
844.140058848,29,9
844.293127447,30,9
844.850677774,31,9
844.928053414,32,9
845.001673927,33,9
845.176270719,34,9
845.220225439,35,9
845.433226458,36,9
845.537889446,37,9
845.587775098,38,9
845.662481996,39,9
845.72881536,40,9
846.038665712,41,9
846.394046119,42,9
846.806878587,43,9
847.145611085,44,9
847.453975897,45,9
847.681680392,45,10
847.765118437,46,10
847.824652841,46,11
847.865002354,47,11
847.91754883,48,11
847.940531537,49,11
848.035946311,49,12
848.117247285,50,12
848.168211485,50,13
848.297335278,51,13
848.347261716,51,14
848.448121424,52,14
848.663722722,53,14
848.672611281,53,15
848.862954871,54,15
849.04898383,54,16
849.048986756,55,16
849.200899586,56,16
849.223678269,56,17
849.277377122,57,17
849.32974453,58,17
849.46740188,59,17
849.585356324,60,17
849.682153641,61,17
849.772822167,62,17
849.924968666,63,17
850.90982928,64,17
850.963298883,65,17
851.087411903,66,17
851.259212373,67,17
851.432205377,68,17
851.619638322,69,17
852.040208197,70,17
853.254157459,71,17
853.396231752,72,17
853.482998681,73,17
853.56488421,74,17
